State,Walmart Retail Units Per 100,000
colorado,1.8648172839710333
washington,0.8897090146910878
rhode island,0.847687508476875
tennessee,2.255784095808016
nevada,1.6356846190686802
maine,1.863471632744029
mississippi,2.8496857802355855
south dakota,1.9366818943027375
new jersey,0.7860180018049631
wyoming,2.440214738897023
minnesota,1.4214231928647398
north carolina,2.0885167286821393
new york,0.5538070914695986
indiana,1.9105535545326466
maryland,0.9869067086957337
louisiana,2.9471379553141275
texas,2.0833093822430273
iowa,2.1515222177891022
west virginia,2.4402729334354554
michigan,1.1810420333860565
utah,1.8674756951203495
virginia,1.7945824722074302
oregon,1.047728061229228
connecticut,0.9474227732011994
georgia,2.029371260954574
hawaii,0.8412828722518969
kentucky,2.280723525998571
nebraska,2.432021128571643
new hampshire,2.147233585694982
south carolina,2.4366682413307665
ohio,1.4622053271474922
north dakota,2.2509460593879016
oklahoma,3.425942914655194
delaware,1.0296752404291687
illinois,1.456730407759204
arkansas,4.337278711874575
idaho,1.5394615305668637
arizona,1.7827318695467003
wisconsin,1.7016013443681894
kansas,2.8781760587147915
montana,1.5061233326744043
california,0.7617499936520834
massachusetts,0.7105653968863025
vermont,0.9616001025706776
pennsylvania,1.2554595921752585
florida,1.8111682546686498
alaska,1.3548887094414064
missouri,2.5424192879661427
alabama,2.945418330197349
new mexico,2.5350264121053727
